"Plot","Year","Veg.Survey","Preserve","Bison","Fire","Dung.per.meter2","YSF","VOR","Thatch.Depth","Vertical","X.Bare","X.Thatch","X.Grass","X.Forb","X.Wood","Restoration.Year","dung.sqrt","Restoration.Age","WallowArea","Wallow.sqrt"
"K77",2020,3,"Kankakee","No Bison","Unburned",0,10,0.675,0.035,0.825,0,0.3,0.4125,0.325,0,2006,0,14,0,0
"K8",2020,1,"Kankakee","No Bison","Unburned",0,8,0.475,0.1425,0.625,0,0.35,0.45,0.0625,0.1375,2003,0,17,0,0
"K8",2020,2,"Kankakee","No Bison","Unburned",0,8,0.5,0.1775,0.725,0.0125,0.3125,0.425,0.0875,0.2,2003,0,17,0,0
"K8",2020,3,"Kankakee","No Bison","Unburned",0,8,0.525,0.13,0.8,0,0.1625,0.6,0.0875,0.2,2003,0,17,0,0
"K9",2020,1,"Kankakee","No Bison","Unburned",0,8,0.275,0.0225,0.425,0.0875,0.3875,0.325,0.2,0,2003,0,17,0,0
"K9",2020,2,"Kankakee","No Bison","Unburned",0,8,0.375,0.0475,0.55,0.0875,0.4,0.1625,0.3,0,2003,0,17,0,0
"K9",2020,3,"Kankakee","No Bison","Unburned",0,8,0.375,0.0175,0.575,0.075,0.3125,0.225,0.275,0.1125,2003,0,17,0,0
"SB",2020,1,"Nachusa","No Bison","Unburned",0,1,0.325,0.01,0.575,0.175,0.0875,0.2375,0.5,0,2009,0,11,0,0
"SB",2020,2,"Nachusa","No Bison","Unburned",0,1,0.575,0.02,0.8,0.0625,0.0625,0.375,0.5,0,2009,0,11,0,0
"SB",2020,3,"Nachusa","No Bison","Unburned",0,1,0.55,0.0175,0.725,0.0375,0.0375,0.3625,0.5625,0,2009,0,11,0,0
"SF",2020,1,"Nachusa","No Bison","Unburned",0,1,0.45,0.1975,0.5,0.05,0.45,0.2625,0.2375,0,2001,0,19,0,0
"SF",2020,2,"Nachusa","No Bison","Unburned",0,1,0.775,0.13,0.75,0.0125,0.2625,0.35,0.375,0,2001,0,19,0,0
"SF",2020,3,"Nachusa","No Bison","Unburned",0,1,0.8,0.0875,0.775,0.0375,0.1375,0.45,0.3875,0,2001,0,19,0,0
"TCR",2020,1,"Nachusa","No Bison","Unburned",0,2,0.375,0.0525,0.45,0.0625,0.4625,0.2375,0.2125,0.025,1963,0,57,0,0
"TCR",2020,2,"Nachusa","No Bison","Unburned",0,2,0.525,0.035,0.475,0.1,0.15,0.375,0.375,0,1963,0,57,0,0
"TCR",2020,3,"Nachusa","No Bison","Unburned",0,2,0.4,0.0425,0.675,0.0625,0.0875,0.4625,0.3875,0,1963,0,57,0,0
"TCS",2020,1,"Nachusa","No Bison","Unburned",0,1,0.275,0.0125,0.575,0.15,0.275,0.1625,0.35,0.0625,2002,0,18,0,0
"TCS",2020,2,"Nachusa","No Bison","Unburned",0,1,0.475,0.0175,0.5,0.1125,0.1,0.3,0.4375,0.05,2002,0,18,0,0
"TCS",2020,3,"Nachusa","No Bison","Unburned",0,1,0.6,0.03,0.8,0.05,0.0625,0.125,0.6625,0.1,2002,0,18,0,0
"CC100",2021,1,"Nachusa","No Bison","Unburned",0,1,0.53125,0.00625,0.58125,0.2375,0.0375,0.3625,0.3625,0,2016,0,5,0,0
"CC100",2021,2,"Nachusa","No Bison","Unburned",0,1,0.646666667,0.027333333,0.746666667,0.12,0.033333333,0.563333333,0.283333333,0,2016,0,5,0,0
"CC100",2021,3,"Nachusa","No Bison","Unburned",0,1,0.80625,0.045,0.84375,0.071875,0.04375,0.621875,0.2625,0,2016,0,5,0,0
"CCE",2021,1,"Nachusa","No Bison","Burned",0,0,0.51875,0,0.575,0.121875,0.003125,0.2625,0.609375,0.003125,2006,0,15,0,0
"CCE",2021,2,"Nachusa","No Bison","Burned",0,0,0.725,0,0.7,0.053125,0,0.340625,0.603125,0.003125,2006,0,15,0,0
"CCE",2021,3,"Nachusa","No Bison","Burned",0,0,0.75625,0,0.9,0.021875,0,0.4375,0.540625,0,2006,0,15,0,0
"CCN",2021,1,"Nachusa","No Bison","Burned",0,0,0.5,0,0.49375,0.140625,0,0.11875,0.740625,0,2015,0,6,0,0
"CCN",2021,2,"Nachusa","No Bison","Burned",0,0,0.6875,0,0.6375,0.096875,0,0.078125,0.825,0,2015,0,6,0,0
"CCN",2021,3,"Nachusa","No Bison","Burned",0,0,0.6125,0,0.6875,0.103125,0,0.096875,0.790625,0.009375,2015,0,6,0,0
"CCW",2021,1,"Nachusa","No Bison","Burned",0,0,0.61875,0,0.60625,0.05,0,0.1125,0.8375,0,2008,0,13,0,0
"CCW",2021,2,"Nachusa","No Bison","Burned",0,0,0.68125,0.005625,0.73125,0.040625,0,0.13125,0.828125,0,2008,0,13,0,0
"CCW",2021,3,"Nachusa","No Bison","Burned",0,0,0.833333333,0,0.88,0.033333333,0,0.18,0.786666667,0,2008,0,13,0,0
"DD",2021,1,"Nachusa","Bison","Unburned",0.009166667,4,0.275,0.045,0.3625,0.003125,0.225,0.21875,0.55,0.003125,2010,0.095742713,11,0,0
"DD",2021,2,"Nachusa","Bison","Unburned",0.009166667,4,0.41875,0.02875,0.6,0.003125,0.021875,0.28125,0.6875,0.00625,2010,0.095742713,11,0,0
"DD",2021,3,"Nachusa","Bison","Unburned",0.009166667,4,0.49375,0.025625,0.7,0,0.053125,0.296875,0.634375,0.015625,2010,0.095742713,11,0,0
"DH",2021,1,"Nachusa","Bison","Unburned",0.003333333,1,0.3625,0.060625,0.41875,0,0.225,0.09375,0.68125,0,2008,0.057735024,13,0,0
"DH",2021,2,"Nachusa","Bison","Unburned",0.003333333,1,0.5,0.0325,0.58125,0,0.034375,0.184375,0.78125,0,2008,0.057735024,13,0,0
"FC",2021,1,"Nachusa","No Bison","Unburned",0,3,0.29375,0.11375,0.6,0.003125,0.484375,0.340625,0.16875,0.003125,2006,0,15,0,0
"FC",2021,2,"Nachusa","No Bison","Unburned",0,3,0.49375,0.09625,0.95,0,0.153125,0.540625,0.2625,0.04375,2006,0,15,0,0
"FC",2021,3,"Nachusa","No Bison","Unburned",0,3,0.51875,0.0725,1.08125,0,0.109375,0.6,0.253125,0.0375,2006,0,15,0,0
"GR",2021,1,"Nachusa","No Bison","Burned",0,0,0.4,0,0.7875,0.103125,0,0.15625,0.69375,0.046875,2007,0,14,0,0
"GR",2021,2,"Nachusa","No Bison","Burned",0,0,0.5,0,0.5625,0.1125,0,0.275,0.55625,0.05625,2007,0,14,0,0
"GR",2021,3,"Nachusa","No Bison","Burned",0,0,0.535294118,0,0.735294118,0.082352941,0.002941176,0.179411765,0.694117647,0.041176471,2007,0,14,0,0
"HAV11",2021,1,"Nachusa","Bison","Burned",0.021666667,0,0.1625,0.000625,0.2375,0.453125,0,0.265625,0.259375,0.021875,1963,0.147196016,58,10.22,3.19687347262916
"HAV11",2021,2,"Nachusa","Bison","Burned",0.021666667,0,0.325,0.000625,0.4875,0.08125,0.003125,0.334375,0.578125,0.003125,1963,0.147196016,58,10.22,3.19687347262916
"HAV11",2021,3,"Nachusa","Bison","Burned",0.021666667,0,0.39375,0,0.625,0.059375,0.00625,0.296875,0.584375,0.053125,1963,0.147196016,58,10.22,3.19687347262916
"HAV2",2021,1,"Nachusa","Bison","Burned",0.00875,0,0.25625,0.005,0.3125,0.0875,0.01875,0.209375,0.684375,0,1991,0.093541435,30,0,0
"HAV2",2021,2,"Nachusa","Bison","Burned",0.00875,0,0.533333333,0.007333333,0.68,0.066666667,0.006666667,0.3,0.626666667,0,1991,0.093541435,30,0,0
"HAV2",2021,3,"Nachusa","Bison","Burned",0.00875,0,0.5375,0.028125,0.73125,0.06875,0.003125,0.284375,0.64375,0,1991,0.093541435,30,0,0
"HAV7",2021,1,"Nachusa","Bison","Unburned",0.0075,3,0.20625,0.035625,0.35625,0.00625,0.321875,0.20625,0.465625,0,1987,0.08660254,34,0,0
"HAV7",2021,2,"Nachusa","Bison","Unburned",0.0075,3,0.35,0.02,0.51875,0.009375,0.06875,0.4125,0.509375,0,1987,0.08660254,34,0,0
"HAV7",2021,3,"Nachusa","Bison","Unburned",0.0075,3,0.3875,0.026875,0.55625,0.015625,0.075,0.475,0.434375,0,1987,0.08660254,34,0,0
"HL",2021,1,"Nachusa","Bison","Unburned",0.089166667,1,0.20625,0.025625,0.4375,0.096875,0.1625,0.41875,0.321875,0,1999,0.298607882,22,610.74,24.7131543919428
"HL",2021,2,"Nachusa","Bison","Unburned",0.089166667,1,0.3375,0.015,0.58125,0.071875,0.090625,0.584375,0.24375,0.009375,1999,0.298607882,22,610.74,24.7131543919428
